winner,opponent,streak_length,start_date,end_date,winner_ranks,loser_ranks,tournaments,rounds
Andre Agassi,Boris Becker,7,1990-03-05,1994-03-07,"[8, 4, 4, 4, 8, 14, 31]","[2, 2, 2, 2, 3, 5, 14]","['Indian Wells Masters', 'US Open', 'Tour Finals', 'Roland Garros', 'Tour Finals', 'Wimbledon', 'Miami Masters']","['SF', 'SF', 'SF', 'SF', 'RR', 'QF', 'R32']"
Nicolas Mahut,Arnaud Clement,6,2004-09-27,2010-03-01,"[121, 167, 82, 106, 77, 208]","[62, 73, 55, 43, 34, 72]","['Grenoble CH', 'Orleans CH', 'Casablanca', ""Queen's Club"", 'Wimbledon', 'Cherbourg CH']","['R32', 'SF', 'R16', 'SF', 'R128', 'SF']"
Ji Sung Nam,Cheong Eui Kim,6,2015-05-25,2018-08-20,"[523, 834, 798, 702, 689, 381]","[344, 470, 470, 383, 381, 368]","['Korea F2', 'Korea F2', 'Korea F4', 'Korea F2', 'Korea F3', 'Korea F5']","['R16', 'SF', 'QF', 'SF', 'QF', 'SF']"
Yoshihito Nishioka,Daniel Evans,6,2016-08-01,2022-09-26,"[97, 77, 71, 96, 96, 56]","[82, 51, 32, 27, 40, 25]","['Atlanta', 'Washington', 'Australian Open', 'Miami Masters', 'Washington', 'Seoul']","['R32', 'R64', 'R64', 'R64', 'QF', 'R32']"
David Sanchez,Eduardo Nicolas,6,1999-01-02,2000-02-04,"[340, 340, 201, 201, 201, 239]","[336, 336, 166, 166, 166, 174]","['Spain 1 Masters 1', 'Spain 1 Masters 3', 'Spain 1 1', 'Spain 1 3', 'Spain 1 4', 'Spain 2 Masters 1']","['QF', 'QF', 'SF', 'QF', 'QF', 'F']"
David Wheaton,Michael Chang,6,1990-10-22,1993-06-21,"[35, 25, 17, 58, 47, 34]","[13, 10, 15, 5, 6, 11]","['Stockholm Masters', ""Queen's Club"", 'Grand Slam Cup', 'Paris Masters', 'Australian Open', 'Wimbledon']","['R16', 'QF', 'F', 'R32', 'R64', 'R32']"
Goran Ivanisevic,Stefan Edberg,6,1992-02-17,1993-11-15,"[9, 8, 8, 7, 11, 8]","[2, 2, 3, 3, 6, 5]","['Stuttgart Indoor', 'Wimbledon', 'Sydney Indoor', 'Stockholm Masters', 'Paris Masters', 'Tour Finals']","['F', 'QF', 'F', 'SF', 'SF', 'RR']"
Grigor Dimitrov,Hubert Hurkacz,6,2021-10-04,2024-05-27,"[28, 29, 28, 17, 12, 10]","[12, 14, 10, 11, 9, 8]","['Indian Wells Masters', 'Monte Carlo Masters', 'Rotterdam', 'Paris Masters', 'Miami Masters', 'Roland Garros']","['QF', 'QF', 'R16', 'QF', 'R16', 'R16']"
Guillermo Canas,Tim Henman,6,1999-08-30,2007-03-19,"[68, 82, 21, 248, 14, 55]","[5, 11, 8, 12, 6, 47]","['US Open', 'Roland Garros', 'Vienna', 'Australian Open', 'Indian Wells Masters', 'Miami Masters']","['R128', 'R32', 'R16', 'R32', 'QF', 'R128']"
Joao Pedro Sorgi,Hernan Casanova,6,2015-12-07,2019-06-24,"[725, 661, 655, 512, 655, 643]","[433, 341, 340, 324, 343, 541]","['Chile F9', 'Argentina F5', 'Argentina F6', 'Italy F19', 'Buenos Aires CH', 'M15 Curitiba']","['QF', 'R16', 'QF', 'QF', 'Q2', 'QF']"
