winner,opponent,streak_length,start_date,end_date,winner_ranks,loser_ranks,tournaments,rounds
Thomas Johansson,Yevgeny Kafelnikov,8,1998-08-31,2001-06-11,"33.0, 19.0, 22.0, 57.0, 57.0, 31.0, 25.0, 19.0","11.0, 2.0, 4.0, 5.0, 5.0, 7.0, 6.0, 7.0","US Open, London, Canada Masters, Wimbledon, Stockholm, Dubai, Davis Cup WG QF: SWE vs RUS, Halle","R16, QF, F, R64, F, R16, RR, SF"
Serena Williams,Victoria Azarenka,7,2011-08-08,2012-10-22,"80.0, 27.0, 9.0, 6.0, 4.0, 4.0, 3.0","4.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0","Toronto, US Open, Madrid, Wimbledon, Olympics, US Open, WTA Championships","SF, R32, F, SF, SF, F, RR"
Mariano Delfino,Sergio Roitman,7,1999-11-01,2004-04-05,"1312.0, 1310.0, 463.0, 283.0, 245.0, 253.0, 224.0","354.0, 357.0, 246.0, 231.0, 219.0, 152.0, 218.0","Argentina F4, Argentina F5, Sopot CH, Lima CH, Hilversum CH, Budapest2 CH, San Luis Potosi CH","R32, F, R16, R32, QF, R32, F"
Andre Agassi,Boris Becker,7,1990-03-05,1994-03-07,"8.0, 4.0, 4.0, 4.0, 8.0, 14.0, 31.0","2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 14.0","Indian Wells Masters, US Open, Tour Finals, Roland Garros, Tour Finals, Wimbledon, Miami Masters","SF, SF, SF, SF, RR, QF, R32"
Ivan Lendl,John McEnroe,7,1981-05-25,1983-01-18,"5.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0","3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0","Roland Garros, Davis Cup WG QF: USA vs TCH, Masters, Dallas WCT, Montreal / Toronto, US Open, Masters","QF, RR, SF, F, SF, SF, F"
Grigor Dimitrov,Hubert Hurkacz,6,2021-10-04,2024-05-27,"28.0, 29.0, 28.0, 17.0, 12.0, 10.0","12.0, 14.0, 10.0, 11.0, 9.0, 8.0","Indian Wells Masters, Monte Carlo Masters, Rotterdam, Paris Masters, Miami Masters, Roland Garros","QF, QF, R16, QF, R16, R16"
Yoshihito Nishioka,Daniel Evans,6,2016-08-01,2022-09-26,"97.0, 77.0, 71.0, 96.0, 96.0, 56.0","82.0, 51.0, 32.0, 27.0, 40.0, 25.0","Atlanta, Washington, Australian Open, Miami Masters, Washington, Seoul","R32, R64, R64, R64, QF, R32"
Joao Pedro Sorgi,Hernan Casanova,6,2015-12-07,2019-06-24,"725.0, 661.0, 655.0, 512.0, 655.0, 643.0","433.0, 341.0, 340.0, 324.0, 343.0, 541.0","Chile F9, Argentina F5, Argentina F6, Italy F19, Buenos Aires CH, M15 Curitiba","QF, R16, QF, QF, Q2, QF"
Ji Sung Nam,Cheong Eui Kim,6,2015-05-25,2018-08-20,"523.0, 834.0, 798.0, 702.0, 689.0, 381.0","344.0, 470.0, 470.0, 383.0, 381.0, 368.0","Korea F2, Korea F2, Korea F4, Korea F2, Korea F3, Korea F5","R16, SF, QF, SF, QF, SF"
Lucie Safarova,Samantha Stosur,6,2012-08-06,2014-03-31,"23.0, 18.0, 28.0, 35.0, 34.0, 26.0","5.0, 9.0, 14.0, 17.0, 20.0, 19.0","Montreal, Fed Cup WG R1: CZE vs AUS, Eastbourne, Tokyo, Beijing, Charleston","R16, RR, R16, R16, R64, R16"
