streak_winner_name,opponent_name,consecutive_upset_streak,streak_start_date,streak_end_date,match_details
Thomas Johansson,Yevgeny Kafelnikov,8,1998-08-31,2001-06-11,US Open (R16 | Rank: 33 > 11); London (QF | Rank: 19 > 2); Canada Masters (F | Rank: 22 > 4); Wimbledon (R64 | Rank: 57 > 5); Stockholm (F | Rank: 57 > 5); Dubai (R16 | Rank: 31 > 7); Davis Cup WG QF: SWE vs RUS (RR | Rank: 25 > 6); Halle (SF | Rank: 19 > 7)
Serena Williams,Victoria Azarenka,7,2011-08-08,2012-10-22,Toronto (SF | Rank: 80 > 4); US Open (R32 | Rank: 27 > 5); Madrid (F | Rank: 9 > 1); Wimbledon (SF | Rank: 6 > 2); Olympics (SF | Rank: 4 > 1); US Open (F | Rank: 4 > 1); WTA Championships (RR | Rank: 3 > 1)
Mariano Delfino,Sergio Roitman,7,1999-11-01,2004-04-05,Argentina F4 (R32 | Rank: 1312 > 354); Argentina F5 (F | Rank: 1310 > 357); Sopot CH (R16 | Rank: 463 > 246); Lima CH (R32 | Rank: 283 > 231); Hilversum CH (QF | Rank: 245 > 219); Budapest2 CH (R32 | Rank: 253 > 152); San Luis Potosi CH (F | Rank: 224 > 218)
Andre Agassi,Boris Becker,7,1990-03-05,1994-03-07,Indian Wells Masters (SF | Rank: 8 > 2); US Open (SF | Rank: 4 > 2); Tour Finals (SF | Rank: 4 > 2); Roland Garros (SF | Rank: 4 > 2); Tour Finals (RR | Rank: 8 > 3); Wimbledon (QF | Rank: 14 > 5); Miami Masters (R32 | Rank: 31 > 14)
Ivan Lendl,John McEnroe,7,1981-05-25,1983-01-18,Roland Garros (QF | Rank: 5 > 3); Davis Cup WG QF: USA vs TCH (RR | Rank: 4 > 1); Masters (SF | Rank: 2 > 1); Dallas WCT (F | Rank: 2 > 1); Montreal / Toronto (SF | Rank: 4 > 1); US Open (SF | Rank: 3 > 1); Masters (F | Rank: 3 > 1)
Grigor Dimitrov,Hubert Hurkacz,6,2021-10-04,2024-05-27,Indian Wells Masters (QF | Rank: 28 > 12); Monte Carlo Masters (QF | Rank: 29 > 14); Rotterdam (R16 | Rank: 28 > 10); Paris Masters (QF | Rank: 17 > 11); Miami Masters (R16 | Rank: 12 > 9); Roland Garros (R16 | Rank: 10 > 8)
Yoshihito Nishioka,Daniel Evans,6,2016-08-01,2022-09-26,Atlanta (R32 | Rank: 97 > 82); Washington (R64 | Rank: 77 > 51); Australian Open (R64 | Rank: 71 > 32); Miami Masters (R64 | Rank: 96 > 27); Washington (QF | Rank: 96 > 40); Seoul (R32 | Rank: 56 > 25)
Joao Pedro Sorgi,Hernan Casanova,6,2015-12-07,2019-06-24,Chile F9 (QF | Rank: 725 > 433); Argentina F5 (R16 | Rank: 661 > 341); Argentina F6 (QF | Rank: 655 > 340); Italy F19 (QF | Rank: 512 > 324); Buenos Aires CH (Q2 | Rank: 655 > 343); M15 Curitiba (QF | Rank: 643 > 541)
Ji Sung Nam,Cheong Eui Kim,6,2015-05-25,2018-08-20,Korea F2 (R16 | Rank: 523 > 344); Korea F2 (SF | Rank: 834 > 470); Korea F4 (QF | Rank: 798 > 470); Korea F2 (SF | Rank: 702 > 383); Korea F3 (QF | Rank: 689 > 381); Korea F5 (SF | Rank: 381 > 368)
Lucie Safarova,Samantha Stosur,6,2012-08-06,2014-03-31,Montreal (R16 | Rank: 23 > 5); Fed Cup WG R1: CZE vs AUS (RR | Rank: 18 > 9); Eastbourne (R16 | Rank: 28 > 14); Tokyo (R16 | Rank: 35 > 17); Beijing (R64 | Rank: 34 > 20); Charleston (R16 | Rank: 26 > 19)
Nicolas Mahut,Arnaud Clement,6,2004-09-27,2010-03-01,Grenoble CH (R32 | Rank: 121 > 62); Orleans CH (SF | Rank: 167 > 73); Casablanca (R16 | Rank: 82 > 55); Queen's Club (SF | Rank: 106 > 43); Wimbledon (R128 | Rank: 77 > 34); Cherbourg CH (SF | Rank: 208 > 72)
Guillermo Canas,Tim Henman,6,1999-08-30,2007-03-19,US Open (R128 | Rank: 68 > 5); Roland Garros (R32 | Rank: 82 > 11); Vienna (R16 | Rank: 21 > 8); Australian Open (R32 | Rank: 248 > 12); Indian Wells Masters (QF | Rank: 14 > 6); Miami Masters (R128 | Rank: 55 > 47)
David Sanchez,Eduardo Nicolas,6,1999-01-02,2000-02-04,Spain 1 Masters 1 (QF | Rank: 340 > 336); Spain 1 Masters 3 (QF | Rank: 340 > 336); Spain 1 1 (SF | Rank: 201 > 166); Spain 1 3 (QF | Rank: 201 > 166); Spain 1 4 (QF | Rank: 201 > 166); Spain 2 Masters 1 (F | Rank: 239 > 174)
Yahiya Doumbia,Martin Hromec,6,1995-07-01,1997-10-11,Denmark Masters 1 (F | Rank: 756 > 586); Denmark Masters 2 (QF | Rank: 756 > 586); Denmark Masters 3 (QF | Rank: 756 > 586); Tunisia Masters 1 (F | Rank: 409 > 374); Tunisia Masters 3 (SF | Rank: 409 > 374); Tunisia Masters 4 (QF | Rank: 409 > 374)
Goran Ivanisevic,Stefan Edberg,6,1992-02-17,1993-11-15,Stuttgart Indoor (F | Rank: 9 > 2); Wimbledon (QF | Rank: 8 > 2); Sydney Indoor (F | Rank: 8 > 3); Stockholm Masters (SF | Rank: 7 > 3); Paris Masters (SF | Rank: 11 > 6); Tour Finals (RR | Rank: 8 > 5)
